feature,Selection count,Pair count,CPSS Score,Worst Case Bound,Unimodal Bound
TPM__SMPD1,1,0,0.1,False,False
TPM__LIFR,1,0,0.1,False,False
METH__SMCP,1,0,0.1,False,False
TPM__CD63,1,0,0.1,False,False
TPM__DSC3,1,0,0.1,False,False
METH__ZNF214,1,0,0.1,False,False
METH__KIAA0427,1,0,0.1,False,False
TPM__TRPM8,1,0,0.1,False,False
METH__ARNT2,1,0,0.1,False,False
TPM__RN7SKP16,1,0,0.1,False,False
TPM__ANK2,1,0,0.1,False,False
TPM__ACSS3,1,0,0.1,False,False
TPM__MAP6,1,0,0.1,False,False
TPM__MAPRE3,1,0,0.1,False,False
TPM__TUBB2B,1,0,0.1,False,False
TPM__PMP22,1,0,0.1,False,False
TPM__CHST1,1,0,0.1,False,False
TPM__CACNA2D1,1,0,0.1,False,False
TPM__UNC13D,1,0,0.1,False,False
METH__RIC3,1,0,0.1,False,False
TPM__FGFBP1,1,0,0.1,False,False
TPM__RGMB,1,0,0.1,False,False
TPM__PDZD11,1,0,0.1,False,False
METH__C21orf88,1,0,0.1,False,False
TPM__KRT17,1,0,0.1,False,False
TPM__KHDRBS3,1,0,0.1,False,False
TPM__TMEM263-DT,1,0,0.1,False,False
METH__DNASE1L3,1,0,0.1,False,False
TPM__GMPR,1,0,0.1,False,False
TPM__TSPAN4,1,0,0.1,False,False
TPM__GPR137C,1,0,0.1,False,False
TPM__INPP5D,1,0,0.1,False,False
METH__SYTL1,1,0,0.1,False,False
TPM__ODAD4,1,0,0.1,False,False
METH__SRBD1,1,0,0.1,False,False
METH__PRKAR1B,1,0,0.1,False,False
TPM__STX2,1,0,0.1,False,False
METH__SPRR1B,1,0,0.1,False,False
TPM__LPAR5,1,0,0.1,False,False
TPM__SEMA4A,1,0,0.1,False,False
TPM__MIR205HG,1,0,0.1,False,False
METH__EFHA2,1,0,0.1,False,False
TPM__DNALI1,1,0,0.1,False,False
TPM__FMN2,1,0,0.1,False,False
TPM__CYP27A1,1,0,0.1,False,False
TPM__ZNF674-AS1,1,0,0.1,False,False
TPM__CAMK2N2,1,0,0.1,False,False
METH__LOC642587,1,0,0.1,False,False
